id,user_id,date,text,true_emotion
1,user_连续恶化,2025-03-20,今天心情不错，工作顺利,正常
2,user_连续恶化,2025-03-21,有点累，但还能坚持,正常
3,user_连续恶化,2025-03-22,压力开始变大了,需关注
4,user_连续恶化,2025-03-23,失眠了，睡不着,需关注
5,user_连续恶化,2025-03-24,什么都不想做,需关注
6,user_连续恶化,2025-03-25,好绝望，想哭,需关注
7,user_连续恶化,2025-03-26,稍微好一点了,正常
8,user_正常,2025-03-20,今天很开心,正常
9,user_正常,2025-03-21,工作完成，轻松,正常
10,user_正常,2025-03-22,和朋友吃饭,正常
11,user_正常,2025-03-23,运动了一下,正常
12,user_正常,2025-03-24,看了喜欢的电影,正常
13,user_正常,2025-03-25,心情愉快,正常
14,user_正常,2025-03-26,期待周末,正常
15,user_波动,2025-03-20,今天很开心,正常
16,user_波动,2025-03-21,突然很难过,需关注
17,user_波动,2025-03-22,恢复正常了,正常
18,user_波动,2025-03-23,又焦虑了,需关注
19,user_波动,2025-03-24,好累,需关注
20,user_波动,2025-03-25,今天还行,正常
21,user_波动,2025-03-26,心情不错,正常
